Unique_ID,Planting_Year,Year,Yard_Age,Variety,Variety_Susceptibility,FS_Binary,Pruning_Type,Mech_Prune,Pruning_Quality,Poor_Prune,Suscept_Binary,Flagshoots,Second_Year
173,NA,2015,NA,Centennial,3,0,Chemical,1,5,1,1,0,0
174,NA,2015,NA,HHA102,2,0,Chemical,1,5,1,1,0,0
175,NA,2015,NA,Crystal,0,0,Notprune,1,5,1,0,0,0
176,2008,2015,7,Willamette,3,0,Chemical,1,5,1,1,0,0
177,2014,2015,1,Cascade,1,0,Mow_chem,1,1,0,0,0,1
178,2012,2015,3,Santiam,1,0,Chemical,1,5,1,0,0,0
179,2012,2015,3,Centennial,3,0,Chemical,1,5,1,1,0,0
180,2012,2015,3,Meridian,3,0,Chemical,1,5,1,1,0,0
181,2002,2015,13,Willamette,3,0,Chemical,1,5,1,1,0,0
182,2004,2015,11,Willamette,3,0,Chemical,1,5,1,1,0,0
183,2013,2015,2,Simcoe,4,0,Mow_chem,1,5,1,1,0,0
184,2013,2015,2,Cascade,1,0,Chemical,1,3,1,0,0,0
185,1981,2015,34,Willamette,3,0,Mechanic,0,1,0,1,0,0
186,2013,2015,2,Centennial,3,0,Chemical,1,3,1,1,0,0
187,2012,2015,3,BrewersGold,4,0,Chemical,1,2,0,1,0,0
188,2013,2015,2,Tettnang,3,0,Chemical,1,2,0,1,0,0
189,1990,2015,25,Mt.Hood,2,0,Chemical,1,5,1,1,0,0
190,1984,2015,31,Nugget,4,0,Chemical,1,4,1,1,0,0
191,1988,2015,27,Nugget,4,0,Mechanic,0,2,0,1,0,0
192,2013,2015,2,Magnum,4,0,Mechanic,0,4,1,1,0,0
193,1991,2015,24,Nugget,4,0,Mechanic,0,2,0,1,0,0
194,2013,2016,3,Crystal,0,0,Chemical,1,5,1,0,0,0
195,2015,2016,1,Sterling,3,0,Notprune,1,5,1,1,0,1
196,2014,2016,2,Willamette,3,0,Notprune,1,5,1,1,0,0
197,2014,2016,2,Cascade,1,0,Notprune,1,5,1,0,0,0
198,2014,2016,2,Sterling,3,0,Notprune,1,5,1,1,0,0
199,2015,2016,1,Amarillo,3,0,Mechanic,0,1,0,1,0,1
200,2015,2016,1,Cascade,1,0,Chemical,1,1,0,0,0,1
201,2014,2016,2,Willamette,3,0,Mow_chem,1,3,1,1,0,0
202,2014,2016,2,Willamette,3,0,Mow_chem,1,5,1,1,0,0
203,1993,2016,23,Nugget,4,0,Mow_chem,1,3,1,1,0,0
204,NA,2016,NA,Centennial,3,0,Mechanic,0,2,0,1,0,0
205,2011,2016,5,Sterling,3,0,Chemical,1,5,1,1,0,0
206,2015,2016,1,Strata,1,0,Chemical,1,3,1,0,0,1
207,2014,2016,2,Magnum,4,0,Chemical,1,4,1,1,0,0
208,2013,2016,3,Santiam,1,0,Mechanic,0,1,0,0,0,0
209,2012,2016,4,Santiam,1,0,Mow_chem,1,5,1,0,0,0
210,2012,2016,4,Cascade,1,0,Mechanic,0,1,0,0,0,0
211,2012,2016,4,Centennial,3,0,Mechanic,0,4,1,1,0,0
212,2012,2016,4,BrewersGold,4,0,Chemical,1,3,1,1,0,0
213,2014,2016,2,Magnum,4,0,Mechanic,0,4,1,1,0,0
214,2012,2016,4,Cascade,1,0,Chemical,1,3,1,0,0,0
215,2012,2016,4,Centennial,3,0,Chemical,1,3,1,1,0,0
216,2012,2016,4,Magnum,4,0,Notprune,1,5,1,1,0,0
